plate	well	accs.id
1	1	AMRVK5473H
1	2	KMNCX9294W
1	3	EHRXZ2102Z
1	4	COZHR7852Q
1	5	FJVNR6433Q
1	6	WTCKQ4682U
1	7	FEKXA6123P
1	8	XQHVL4555T
1	9	PYDWZ5140H
1	10	QMIQE9014Q
1	11	TJODH5558R
1	12	LMYXD8284L
1	13	AEVTY9262N
1	14	HXGRY8455L
1	15	APSYG2561B
1	16	RJFOS4309J
1	17	ESWAF1394N
1	18	YUVUK2363B
1	19	IYRCV4233S
1	20	ZRQLE6832E
1	21	CCTZE1364J
1	22	VLTOM7573H
1	23	TLUTU7946Z
1	24	YIBVB6679G
1	25	PPIYE0543C
1	26	JSCVW4590Z
1	27	AWSWI1753B
1	28	CWCYJ5967Y
1	29	QKEBC3449Q
1	30	EMEKD4758Z
1	31	YPAIG2628T
1	32	PONIB9927K
1	33	FHRNY9291C
1	34	NAIOC3767D
1	35	HZVPN3173Z
1	36	ZUVZJ0625N
1	37	WCZZI3054Y
1	38	YNKXE3592A
1	39	SHRDJ2827D
1	40	BFMJP5226S
1	41	HOPES6744N
1	42	NQLIG3501O
1	43	ZOUQO6187G
1	44	CPPFX3837I
1	45	EVGOH7958Q
1	46	EZUTX4741U
1	47	EGAQD9158U
1	48	WFTHO8656W
1	49	GSTHF7886B
1	50	BCNEW0611C
1	51	YGDWB7856O
1	52	YCJPW8826Y
1	53	RJBHA7548U
1	54	JMOJD6831S
1	55	XADLE5392V
1	56	EJIFE3955Z
1	57	BZDNZ8440C
1	58	IKPHM8654I
1	59	UHAGI7056C
1	60	GRCBS8787A
1	61	YHVJN5477B
1	62	CCUFH6047S
1	63	ZDUQC8756G
1	64	JTKGY8648U
1	65	TCIVT7512Z
1	66	GJMAE0596P
1	67	PPYNN2753B
1	68	DKJWL8045K
1	69	ROLTC9953O
1	70	LLRDM1993Z
1	71	SKCDP7842P
1	72	YOBHN7830M
1	73	JAFGZ5456S
1	74	UCJIW8064R
1	75	SKGFE4349B
1	76	TIDGV8968E
1	77	CVXVY4412S
1	78	PYMXO4479X
1	79	MCAWH3862M
1	80	LWAUS2623N
1	81	NHWBM7266N
1	82	JTCLE8775L
1	83	JQBXC2167A
1	84	UXFTE5567F
1	85	VKOWY1793S
1	86	JEDHX3525Y
1	87	OTQDK5600S
1	88	VSLZD1229N
1	89	BKLUY4714F
1	90	VHDTN3829S
1	91	XUTEZ7832G
1	92	EGTKM4119P
1	93	XRCUV7311M
1	94	SXRIN5228Z
1	95	RRNKM4348Z
1	96	FSLXL1810K
1	97	MKBIZ4299O
1	98	ZXFVI4008D
1	99	BGEDB6250S
1	100	RKYIW5765X
1	101	VGEPL5444S
1	102	DXIDY0171K
1	103	JIEIX8990N
1	104	GVAZA4585N
1	105	LHMZU4204Q
1	106	AFGBA9790C
1	107	QZCLL1231R
1	108	NVTNX8355U
1	109	LPVNI7529H
1	110	NRMTA8819P
1	111	YIOVI4499P
1	112	TXYQD2083Q
1	113	VBQGS2818F
1	114	CZYDT1926T
1	115	VYQBM5659B
1	116	VFGUW0791D
1	117	SKHZB5320G
1	118	TCCUH1711N
1	119	RBWKA9075I
1	120	TYMOY9788O
1	121	YHXXJ1069H
1	122	ZLEQI7730E
1	123	VTCLN9670B
1	124	ALUHT9004I
1	125	EOFAH8274N
1	126	YIMEN9264M
1	127	FDBCO9452H
1	128	KIYUF4827Q
1	129	QXQPZ5882C
1	130	PNAXM0539J
1	131	YTFZH2623J
1	132	HYTKC5324M
1	133	HZFSE5116T
1	134	KNVBY0785S
1	135	XXUFI2964R
1	136	IVXDA3647M
1	137	AQQIY7988D
1	138	SZNTA8655Y
1	139	SMIBV3605N
1	140	IBDRX3066N
1	141	RKWJG8132J
1	142	YXMSX6719P
1	143	IBARK0929U
1	144	LMQZZ1618J
1	145	JRTBY2322A
