plate	well	accs.id
1	1	AMRVK5473H
1	2	KMNCX9294W
1	3	EHRXZ2102Z
1	4	COZHR7852Q
1	5	FJVNR6433Q
1	6	WTCKQ4682U
1	7	FEKXA6123P
1	8	XQHVL4555T
1	9	PYDWZ5140H
1	10	QMIQE9014Q
1	11	TJODH5558R
1	12	LMYXD8284L
1	13	AEVTY9262N
1	14	HXGRY8455L
1	15	APSYG2561B
1	16	RJFOS4309J
1	17	ESWAF1394N
1	18	YUVUK2363B
1	19	IYRCV4233S
1	20	ZRQLE6832E
1	21	CCTZE1364J
1	22	VLTOM7573H
1	23	TLUTU7946Z
1	24	YIBVB6679G
1	25	PPIYE0543C
1	26	JSCVW4590Z
1	27	AWSWI1753B
1	28	CWCYJ5967Y
1	29	QKEBC3449Q
1	30	EMEKD4758Z
1	31	YPAIG2628T
1	32	PONIB9927K
1	33	FHRNY9291C
1	34	NAIOC3767D
1	35	HZVPN3173Z
1	36	ZUVZJ0625N
1	37	WCZZI3054Y
1	38	YNKXE3592A
1	39	SHRDJ2827D
1	40	BFMJP5226S
1	41	HOPES6744N
1	42	NQLIG3501O
1	43	ZOUQO6187G
1	44	CPPFX3837I
1	45	EVGOH7958Q
1	46	EZUTX4741U
1	47	EGAQD9158U
1	48	WFTHO8656W
1	49	GSTHF7886B
1	50	BCNEW0611C
1	51	YGDWB7856O
1	52	YCJPW8826Y
1	53	RJBHA7548U
1	54	JMOJD6831S
1	55	XADLE5392V
1	56	EJIFE3955Z
1	57	BZDNZ8440C
1	58	IKPHM8654I
1	59	UHAGI7056C
1	60	GRCBS8787A
1	61	YHVJN5477B
1	62	CCUFH6047S
1	63	ZDUQC8756G
1	64	JTKGY8648U
1	65	TCIVT7512Z
1	66	GJMAE0596P
1	67	PPYNN2753B
1	68	DKJWL8045K
1	69	ROLTC9953O
1	70	LLRDM1993Z
1	71	SKCDP7842P
1	72	YOBHN7830M
1	73	JAFGZ5456S
1	74	UCJIW8064R
1	75	SKGFE4349B
1	76	TIDGV8968E
1	77	CVXVY4412S
1	78	PYMXO4479X
1	79	MCAWH3862M
1	80	LWAUS2623N
1	81	NHWBM7266N
1	82	JTCLE8775L
1	83	JQBXC2167A
1	84	UXFTE5567F
1	85	VKOWY1793S
1	86	JEDHX3525Y
1	87	OTQDK5600S
1	88	VSLZD1229N
1	89	BKLUY4714F
1	90	VHDTN3829S
1	91	XUTEZ7832G
1	92	EGTKM4119P
2	1	GWGJT9769W
2	2	TKSUP0061X
2	3	HLVOR2656F
2	4	TIYAO0501Y
2	5	YBBDN6102H
2	6	GEMAO2586W
2	7	WDEGJ6595R
2	8	WBJUS5123A
2	9	YKWFP3597Y
2	10	PQVOP8638G
2	11	TBSWT1362X
2	12	GPJSZ4817Z
2	13	KACSV1639M
2	14	MXXPC2048S
2	15	DJLZG4965E
2	16	PIIRA3886J
2	17	KHXSC5624R
2	18	HJGYJ2994U
2	19	IUJMC6453D
2	20	ZRLQX3488P
2	21	OOQIZ0915V
2	22	ZQKOT8078Q
2	23	YAVQP2306R
2	24	BIJII2600G
2	25	SYYJS0686M
2	26	INSIC4637W
2	27	DVGXL1737N
2	28	OLRKD4718J
2	29	KFGGK5904B
2	30	BFOKG6513H
2	31	YWQPY0852G
2	32	OJPMT3104K
2	33	OVHHZ2256K
2	34	QVOIR4357Z
2	35	ACQTC6669C
2	36	JTHBB5498Z
2	37	PAZUQ6487H
2	38	ETCGK6402W
2	39	FEGES6880X
2	40	BSBOJ3940P
2	41	MDVDE3306C
2	42	IZCLM0415U
2	43	QNSKS3504F
2	44	FPYTI7593X
2	45	FJDRC9447O
2	46	CLPLP9055C
2	47	MQUBF0768P
2	48	UYGVZ5202K
2	49	PJLLM7809J
2	50	JBQXH3534C
2	51	PXIMI1191Z
2	52	REZIB1859S
2	53	TROGI8777D
2	54	BAFQL4878A
2	55	LBNWD1159J
2	56	RWUSA0547U
2	57	GIDBN7727O
2	58	LFSWQ8820N
2	59	ZURRB0489G
2	60	YDDRF7673W
2	61	GAUHY2870S
2	62	KHXZK2933J
2	63	FSWEL1597M
2	64	PFQJX2982Q
2	65	SXERS4206G
2	66	YKAIR0331R
2	67	DVKEJ1558D
2	68	VTJWP1987G
2	69	VUZXW6449U
2	70	MUFYK8155V
2	71	KVOYB7810R
2	72	WVKQL3102E
2	73	HVQIH4916D
2	74	OVUEZ2471J
2	75	YCOPB3956B
2	76	PWYXE2190J
2	77	NIWER1044M
2	78	CDTPV4295B
2	79	GOCJD4033K
2	80	OZJQZ2767K
2	81	IMDAT3635T
2	82	TEIHC1686X
2	83	YELGJ2857B
2	84	BXDKX2558Y
2	85	ZXMMU4582Q
2	86	QMKPQ8726Z
2	87	UPVJS7223U
2	88	QJOPQ2098E
2	89	CPWXM2022D
2	90	MMBBT6633J
2	91	KMTDV9552V
2	92	doodoo


