plate	barcode.id
1	LN00000001
2	LN00000002
3	LN00000003
4	LN00000004
5	LN00000005
6	LN00000006
7	LN00000007
8	LN00000008
9	LN00000009
10	LN00000010
11	LN00000011
12	LN00000012
13	LN00000013
14	LN00000014
15	LN00000015
16	LN00000016
17	LN00000017
18	LN00000018
19	LN00000019
20	LN00000020
21	LN00000021
22	LN00000022
23	LN00000023
24	LN00000024
25	LN00000025
26	LN00000026
27	LN00000027
28	LN00000028
29	LN00000029
30	LN00000030
31	LN00000031
32	LN00000032
33	LN00000033
34	LN00000034
35	LN00000035
36	LN00000036
37	LN00000037
38	LN00000038
39	LN00000039
40	LN00000040
41	LN00000041
42	LN00000042
43	LN00000043
44	LN00000044
45	LN00000045
46	LN00000046
47	LN00000047
48	LN00000048
49	LN00000049
50	LN00000050
51	LN00000051
52	LN00000052
53	LN00000053
54	LN00000054
55	LN00000055
56	LN00000056
57	LN00000057
58	LN00000058
59	LN00000059
60	LN00000060
61	LN00000061
62	LN00000062
63	LN00000063
64	LN00000064
65	LN00000065
66	LN00000066
67	LN00000067
68	LN00000068
69	LN00000069
70	LN00000070
71	LN00000071
72	LN00000072
73	LN00000073
74	LN00000074
75	LN00000075
76	LN00000076
77	LN00000077
78	LN00000078
79	LN00000079
80	LN00000080
81	LN00000081
82	LN00000082
83	LN00000083
84	LN00000084
85	LN00000085
86	LN00000086
87	LN00000087
88	LN00000088
89	LN00000089
90	LN00000090
91	LN00000091
92	LN00000092
93	LN00000093
94	LN00000094
95	LN00000095
96	LN00000096
97	LN00000097
98	LN00000098
99	LN00000099
100	LN00000100
101	LN00000101
102	LN00000102
103	LN00000103
104	LN00000104
105	LN00000105
106	LN00000106
107	LN00000107
108	LN00000108
109	LN00000109
110	LN00000110
111	LN00000111
112	LN00000112
113	LN00000113
114	LN00000114
115	LN00000115
116	LN00000116
117	LN00000117
118	LN00000118
119	LN00000119
120	LN00000120
121	LN00000121
122	LN00000122
123	LN00000123
124	LN00000124
125	LN00000125
126	LN00000126
127	LN00000127
128	LN00000128
129	LN00000129
130	LN00000130
131	LN00000131
132	LN00000132
133	LN00000133
134	LN00000134
135	LN00000135
136	LN00000136
137	LN00000137
138	LN00000138
139	LN00000139
140	LN00000140
141	LN00000141
142	LN00000142
143	LN00000143
144	LN00000144
145	LN00000145
146	LN00000146
147	LN00000147
148	LN00000148
149	LN00000149
150	LN00000150
151	LN00000151
152	LN00000152
153	LN00000153
154	LN00000154
155	LN00000155
156	LN00000156
157	LN00000157
158	LN00000158
159	LN00000159
160	LN00000160
161	LN00000161
162	LN00000162
163	LN00000163
164	LN00000164
165	LN00000165
166	LN00000166
167	LN00000167
168	LN00000168
169	LN00000169
170	LN00000170
171	LN00000171
172	LN00000172
173	LN00000173
174	LN00000174
175	LN00000175
176	LN00000176
177	LN00000177
178	LN00000178
179	LN00000179
180	LN00000180
181	LN00000181
182	LN00000182
183	LN00000183
184	LN00000184
185	LN00000185
186	LN00000186
187	LN00000187
188	LN00000188
189	LN00000189
190	LN00000190
191	LN00000191
192	LN00000192
193	LN00000193
194	LN00000194
195	LN00000195
196	LN00000196
197	LN00000197
198	LN00000198
199	LN00000199
200	LN00000200
201	LN00000201
202	LN00000202
203	LN00000203
204	LN00000204
205	LN00000205
206	LN00000206
207	LN00000207
208	LN00000208
209	LN00000209
210	LN00000210
211	LN00000211
212	LN00000212
213	LN00000213
214	LN00000214
215	LN00000215
216	LN00000216
217	LN00000217
218	LN00000218
219	LN00000219
220	LN00000220
221	LN00000221
222	LN00000222
223	LN00000223
224	LN00000224
225	LN00000225
226	LN00000226
227	LN00000227
228	LN00000228
229	LN00000229
230	LN00000230
231	LN00000231
232	LN00000232
233	LN00000233
234	LN00000234
235	LN00000235
236	LN00000236
237	LN00000237
238	LN00000238
239	LN00000239
240	LN00000240
241	LN00000241
242	LN00000242
243	LN00000243
244	LN00000244
245	LN00000245
246	LN00000246
247	LN00000247
248	LN00000248
249	LN00000249
250	LN00000250
251	LN00000251
252	LN00000252
253	LN00000253
254	LN00000254
255	LN00000255
256	LN00000256
257	LN00000257
258	LN00000258
259	LN00000259
260	LN00000260
261	LN00000261
262	LN00000262
263	LN00000263
264	LN00000264
265	LN00000265
266	LN00000266
267	LN00000267
268	LN00000268
269	LN00000269
270	LN00000270
271	LN00000271
272	LN00000272
273	LN00000273
274	LN00000274
275	LN00000275
276	LN00000276
277	LN00000277
278	LN00000278
279	LN00000279
280	LN00000280
281	LN00000281
282	LN00000282
283	LN00000283
284	LN00000284
285	LN00000285
286	LN00000286
287	LN00000287
288	LN00000288
289	LN00000289
290	LN00000290
291	LN00000291
292	LN00000292
293	LN00000293
294	LN00000294
295	LN00000295
296	LN00000296
297	LN00000297
298	LN00000298
299	LN00000299
300	LN00000300
301	LN00000301
302	LN00000302
303	LN00000303
304	LN00000304
305	LN00000305
306	LN00000306
307	LN00000307
308	LN00000308
309	LN00000309
310	LN00000310
311	LN00000311
312	LN00000312
313	LN00000313
314	LN00000314
315	LN00000315
316	LN00000316
317	LN00000317
318	LN00000318
319	LN00000319
320	LN00000320
321	LN00000321
322	LN00000322
323	LN00000323
324	LN00000324
325	LN00000325
326	LN00000326
327	LN00000327
328	LN00000328
329	LN00000329
330	LN00000330
331	LN00000331
332	LN00000332
333	LN00000333
334	LN00000334
335	LN00000335
336	LN00000336
337	LN00000337
338	LN00000338
339	LN00000339
340	LN00000340
341	LN00000341
342	LN00000342
343	LN00000343
344	LN00000344
345	LN00000345
346	LN00000346
347	LN00000347
348	LN00000348
349	LN00000349
350	LN00000350
351	LN00000351
352	LN00000352
353	LN00000353
354	LN00000354
355	LN00000355
356	LN00000356
357	LN00000357
358	LN00000358
359	LN00000359
360	LN00000360
361	LN00000361
362	LN00000362
363	LN00000363
364	LN00000364
365	LN00000365
366	LN00000366
367	LN00000367
368	LN00000368
369	LN00000369
370	LN00000370
371	LN00000371
372	LN00000372
373	LN00000373
374	LN00000374
375	LN00000375
376	LN00000376
377	LN00000377
378	LN00000378
379	LN00000379
380	LN00000380
381	LN00000381
382	LN00000382
383	LN00000383
384	LN00000384
385	LN00000385
386	LN00000386
387	LN00000387
388	LN00000388
389	LN00000389
390	LN00000390
391	LN00000391
392	LN00000392
393	LN00000393
394	LN00000394
395	LN00000395
396	LN00000396
397	LN00000397
398	LN00000398
399	LN00000399
400	LN00000400
401	LN00000401
402	LN00000402
403	LN00000403
404	LN00000404
405	LN00000405
406	LN00000406
407	LN00000407
408	LN00000408
409	LN00000409
410	LN00000410
411	LN00000411
412	LN00000412
413	LN00000413
414	LN00000414
415	LN00000415
416	LN00000416
417	LN00000417
418	LN00000418
419	LN00000419
420	LN00000420
421	LN00000421
422	LN00000422
423	LN00000423
424	LN00000424
425	LN00000425
426	LN00000426
427	LN00000427
428	LN00000428
429	LN00000429
430	LN00000430
431	LN00000431
432	LN00000432
433	LN00000433
434	LN00000434
435	LN00000435
436	LN00000436
437	LN00000437
438	LN00000438
439	LN00000439
440	LN00000440
441	LN00000441
442	LN00000442
443	LN00000443
444	LN00000444
445	LN00000445
446	LN00000446
447	LN00000447
448	LN00000448
449	LN00000449
450	LN00000450
451	LN00000451
