project-sys-name	description	name	lnsession-id	id
PRJ-1	3 plate sets with 2 96 well plates each	With AR, HL	1	1
PRJ-2	1 plate set with 2 384 well plates each	With AR	1	2
PRJ-3	1 plate set with 1 1536 well plate	With AR	1	3
PRJ-4	description 4	MyTestProj4	1	4
PRJ-5	description 5	MyTestProj5	1	5
PRJ-6	description 6	MyTestProj6	1	6
PRJ-7	description 7	MyTestProj7	1	7
PRJ-8	description 8	MyTestProj8	1	8
PRJ-9	description 9	MyTestProj9	1	9
PRJ-10	2 plate sets with 10 96 well plates each	Plates only, no data	1	10
