format	wellname	row	rownum	col	totcolcount	byrow	bycol	quad	parentwell
96	A01	A	1	1	12	1	1	1	0
96	B01	B	2	1	12	13	2	1	0
96	C01	C	3	1	12	25	3	1	0
96	D01	D	4	1	12	37	4	1	0
96	E01	E	5	1	12	49	5	1	0
96	F01	F	6	1	12	61	6	1	0
96	G01	G	7	1	12	73	7	1	0
96	H01	H	8	1	12	85	8	1	0
96	A02	A	1	2	12	2	9	1	0
96	B02	B	2	2	12	14	10	1	0
96	C02	C	3	2	12	26	11	1	0
96	D02	D	4	2	12	38	12	1	0
96	E02	E	5	2	12	50	13	1	0
96	F02	F	6	2	12	62	14	1	0
96	G02	G	7	2	12	74	15	1	0
96	H02	H	8	2	12	86	16	1	0
96	A03	A	1	3	12	3	17	1	0
96	B03	B	2	3	12	15	18	1	0
96	C03	C	3	3	12	27	19	1	0
96	D03	D	4	3	12	39	20	1	0
96	E03	E	5	3	12	51	21	1	0
96	F03	F	6	3	12	63	22	1	0
96	G03	G	7	3	12	75	23	1	0
96	H03	H	8	3	12	87	24	1	0
96	A04	A	1	4	12	4	25	1	0
96	B04	B	2	4	12	16	26	1	0
96	C04	C	3	4	12	28	27	1	0
96	D04	D	4	4	12	40	28	1	0
96	E04	E	5	4	12	52	29	1	0
96	F04	F	6	4	12	64	30	1	0
96	G04	G	7	4	12	76	31	1	0
96	H04	H	8	4	12	88	32	1	0
96	A05	A	1	5	12	5	33	1	0
96	B05	B	2	5	12	17	34	1	0
96	C05	C	3	5	12	29	35	1	0
96	D05	D	4	5	12	41	36	1	0
96	E05	E	5	5	12	53	37	1	0
96	F05	F	6	5	12	65	38	1	0
96	G05	G	7	5	12	77	39	1	0
96	H05	H	8	5	12	89	40	1	0
96	A06	A	1	6	12	6	41	1	0
96	B06	B	2	6	12	18	42	1	0
96	C06	C	3	6	12	30	43	1	0
96	D06	D	4	6	12	42	44	1	0
96	E06	E	5	6	12	54	45	1	0
96	F06	F	6	6	12	66	46	1	0
96	G06	G	7	6	12	78	47	1	0
96	H06	H	8	6	12	90	48	1	0
96	A07	A	1	7	12	7	49	1	0
96	B07	B	2	7	12	19	50	1	0
96	C07	C	3	7	12	31	51	1	0
96	D07	D	4	7	12	43	52	1	0
96	E07	E	5	7	12	55	53	1	0
96	F07	F	6	7	12	67	54	1	0
96	G07	G	7	7	12	79	55	1	0
96	H07	H	8	7	12	91	56	1	0
96	A08	A	1	8	12	8	57	1	0
96	B08	B	2	8	12	20	58	1	0
96	C08	C	3	8	12	32	59	1	0
96	D08	D	4	8	12	44	60	1	0
96	E08	E	5	8	12	56	61	1	0
96	F08	F	6	8	12	68	62	1	0
96	G08	G	7	8	12	80	63	1	0
96	H08	H	8	8	12	92	64	1	0
96	A09	A	1	9	12	9	65	1	0
96	B09	B	2	9	12	21	66	1	0
96	C09	C	3	9	12	33	67	1	0
